partition	test	trace	lean_reason
onchain	t157_a1_delete_absent_without_approval_refuses	no-approval	no-approval
onchain	t157_a1_delete_active_without_approval_refuses	no-approval	no-approval
onchain	t157_a1_insert_absent_without_approval_refuses	no-approval	no-approval
onchain	t157_a1_insert_active_without_approval_refuses	no-approval	no-approval
onchain	t157_a1_update_active_without_approval_refuses	no-approval	no-approval
onchain	t157_a1_update_terminal_without_approval_refuses	no-approval	no-approval
onchain	t157_a2_wrong_destination_approval_refuses	approval-binding	approval-mismatch
onchain	t157_a2_wrong_edge_approval_refuses	approval-binding	approval-mismatch
onchain	t157_a2_wrong_key_approval_refuses	approval-binding	approval-mismatch
onchain	t157_a2_wrong_owner_approval_refuses	approval-binding	approval-mismatch
onchain	t157_a3_foreign_policy_approval_refuses	no-approval	no-approval
onchain	t157_a4_altered_absent_policy_refuses	pins-altered	Model.I-P1-config-preserved
onchain	t157_a4_altered_active_policy_refuses	pins-altered	Model.I-P1-config-preserved
onchain	t157_a4_altered_application_policy_refuses	pins-altered	Model.I-P1-config-preserved
onchain	t157_a4_altered_process_time_refuses	pins-altered	Model.I-P1-config-preserved
onchain	t157_a4_altered_retract_time_refuses	pins-altered	Model.I-P1-config-preserved
onchain	t157_a4_altered_terminal_policy_refuses	pins-altered	Model.I-P1-config-preserved
onchain	t157_a4_altered_tip_refuses	pins-altered	Model.I-P1-config-preserved
onchain	t157_g1_delete_spelling_bytes_refuses	leaf-codec	Model.decodeState-none
onchain	t157_g1_insert_empty_value_refuses	leaf-codec	Model.decodeState-none
onchain	t157_g1_insert_noncodec_byte_refuses	leaf-codec	Model.decodeState-none
onchain	t157_g1_update_over_marker_refuses	leaf-codec	Model.decodeState-none
onchain	t157_g2_delete_absent_delta_off_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_g2_delete_active_delta_off_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_g2_insert_absent_delta_off_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_g2_insert_active_delta_off_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_g2_read_terminal_delta_off_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_g2_update_absent_to_active_delta_off_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_g2_update_active_to_terminal_delta_off_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_g3_delete_terminal_refuses	edge-from-terminal	terminal-immutable
onchain	t157_g3_insert_terminal_refuses	insert-terminal	Model.transition-none
onchain	t157_g3_read_absent_refuses	read-absent	read-absent
onchain	t157_g3_read_active_refuses	read-non-terminal	read-active
onchain	t157_g3_update_absent_to_absent_refuses	update-to-absent	Model.transition-none
onchain	t157_g3_update_absent_to_terminal_refuses	update-absent-to-terminal	Model.transition-none
onchain	t157_g3_update_active_to_absent_refuses	update-to-absent	Model.transition-none
onchain	t157_g3_update_active_to_active_refuses	update-active-to-active	Model.transition-none
onchain	t157_g3_update_from_terminal_refuses	edge-from-terminal	terminal-immutable
onchain	t157_g4_read_against_final_root_refuses	read-root	Model.readAt-false
onchain	t157_g4_read_against_initial_root_refuses	read-root	Model.readAt-false
onchain	t157_g5_zero_consumed_requests_refuses	empty-fold	empty-fold
onchain	t157_m1_active_token_for_another_key_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_m1_two_active_tokens_for_one_key_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_m2_absent_mint_on_active_leaf_refuses	delta-mismatch	net-mint-mismatch
onchain	t157_m3_read_of_active_leaf_refuses	read-non-terminal	read-active
onchain	t157_m4_update_active_without_absent_burn_refuses	delta-mismatch	net-mint-mismatch
